"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"24683","consent.html","external-html","0","24704","0.0-0.0","pv649qr0b0bywkgnu6er","male","journey","","","","","",""
"3059","","image-button-response","1","27779","0.0-1.0","pv649qr0b0bywkgnu6er","male","journey","check-1.png","1","check1","","",""
"1839","","image-button-response","2","29629","0.0-2.0","pv649qr0b0bywkgnu6er","male","journey","check-2.png","2","check2","","",""
"19959","","instructions","3","49589","0.0-3.0","pv649qr0b0bywkgnu6er","male","journey","","","","[{""page_index"":0,""viewing_time"":1444},{""page_index"":1,""viewing_time"":7529},{""page_index"":2,""viewing_time"":9367},{""page_index"":3,""viewing_time"":1617}]","",""
"69367","","html-slider-response","4","118970","0.0-4.0","pv649qr0b0bywkgnu6er","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mj.png"" class=""main-trial""/>","","trial","","43",""
"203022","","survey-text","5","322003","0.0-5.0","pv649qr0b0bywkgnu6er","male","journey","","","description","","","{""Q0"":""Jason knows that he has a heart of gold.But after undergoing a complicated thyroid surgery.Jason was diagnosed with stage II Lymphoma.""}"
"4054","","survey-likert","6","326060","0.0-6.0-0.0","pv649qr0b0bywkgnu6er","male","journey","","","urgent","","","{""Q0"":5}"
"3627","","survey-likert","7","329688","0.0-6.0-1.0","pv649qr0b0bywkgnu6er","male","journey","","","sympathy","","","{""Q0"":4}"
"20668","","survey-text","8","350358","0.0-7.0","pv649qr0b0bywkgnu6er","male","journey","","","past-donations","","","{""Q0"":""8""}"
"104006","","survey-multi-choice","9","454369","0.0-8.0-0.0","pv649qr0b0bywkgnu6er","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"3816","","survey-multi-choice","10","458188","0.0-8.0-1.0","pv649qr0b0bywkgnu6er","male","journey","","","ff-cancer","","","{""Q0"":""No""}"
"9508","","survey-multi-choice","11","467710","0.0-9.0","pv649qr0b0bywkgnu6er","male","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"5674","","survey-text","12","473398","0.0-10.0","pv649qr0b0bywkgnu6er","male","journey","","","age","","","{""Q0"":""68""}"
"20268","","survey-text","13","493668","0.0-11.0","pv649qr0b0bywkgnu6er","male","journey","","","purpose","","","{""Q0"":""Its very nice and more interesting""}"
"33122","","survey-text","14","526795","0.0-12.0","pv649qr0b0bywkgnu6er","male","journey","","","feedback","","","{""Q0"":""my answer is useful for your research""}"
"4185","debrief.html","external-html","15","531288","0.0-13.0","pv649qr0b0bywkgnu6er","male","journey","","","","","",""
