"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"8818","consent.html","external-html","0","9024","0.0-0.0","pzmw03x9qwylj92xcdr9","male","battle","","","","","",""
"5976","","image-button-response","1","15005","0.0-1.0","pzmw03x9qwylj92xcdr9","male","battle","check-1.png","1","check1","","",""
"8847","","image-button-response","2","23854","0.0-2.0","pzmw03x9qwylj92xcdr9","male","battle","check-2.png","2","check2","","",""
"7888","","instructions","3","31744","0.0-3.0","pzmw03x9qwylj92xcdr9","male","battle","","","","[{""page_index"":0,""viewing_time"":2089},{""page_index"":1,""viewing_time"":2048},{""page_index"":2,""viewing_time"":1620},{""page_index"":3,""viewing_time"":2130}]","",""
"6596","","html-slider-response","4","38343","0.0-4.0","pzmw03x9qwylj92xcdr9","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","25",""
"17319","","survey-text","5","55663","0.0-5.0","pzmw03x9qwylj92xcdr9","male","battle","","","description","","","{""Q0"":""most memorable situation""}"
"7928","","survey-likert","6","63594","0.0-6.0-0.0","pzmw03x9qwylj92xcdr9","male","battle","","","sympathy","","","{""Q0"":5}"
"6438","","survey-likert","7","70033","0.0-6.0-1.0","pzmw03x9qwylj92xcdr9","male","battle","","","urgent","","","{""Q0"":5}"
"8609","","survey-text","8","78644","0.0-7.0","pzmw03x9qwylj92xcdr9","male","battle","","","past-donations","","","{""Q0"":""5""}"
"5355","","survey-multi-choice","9","84003","0.0-8.0-0.0","pzmw03x9qwylj92xcdr9","male","battle","","","ff-cancer","","","{""Q0"":""No""}"
"8188","","survey-multi-choice","10","92194","0.0-8.0-1.0","pzmw03x9qwylj92xcdr9","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"25563","","survey-multi-choice","11","117763","0.0-9.0","pzmw03x9qwylj92xcdr9","male","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
"11888","","survey-text","12","129653","0.0-10.0","pzmw03x9qwylj92xcdr9","male","battle","","","age","","","{""Q0"":""25""}"
"8468","","survey-text","13","138123","0.0-11.0","pzmw03x9qwylj92xcdr9","male","battle","","","purpose","","","{""Q0"":""no""}"
"6099","","survey-text","14","144223","0.0-12.0","pzmw03x9qwylj92xcdr9","male","battle","","","feedback","","","{""Q0"":""no""}"
"4897","debrief.html","external-html","15","149701","0.0-13.0","pzmw03x9qwylj92xcdr9","male","battle","","","","","",""
