"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"13597","consent.html","external-html","0","13684","0.0-0.0","t9n03jurgq0jsxe8chg6","male","battle","","","","","",""
"4228","","image-button-response","1","17916","0.0-1.0","t9n03jurgq0jsxe8chg6","male","battle","check-1.png","1","check1","","",""
"3998","","image-button-response","2","21915","0.0-2.0","t9n03jurgq0jsxe8chg6","male","battle","check-2.png","2","check2","","",""
"41421","","instructions","3","63337","0.0-3.0","t9n03jurgq0jsxe8chg6","male","battle","","","","[{""page_index"":0,""viewing_time"":7095},{""page_index"":1,""viewing_time"":25331},{""page_index"":2,""viewing_time"":7656},{""page_index"":3,""viewing_time"":1338}]","",""
"42098","","html-slider-response","4","105438","0.0-4.0","t9n03jurgq0jsxe8chg6","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","10",""
"50087","","survey-text","5","155527","0.0-5.0","t9n03jurgq0jsxe8chg6","male","battle","","","description","","","{""Q0"":""Jason has been diagnosed with Stage 2 Lymphoma, he is battling hard to fight the illness and could use help raising money for treatment.""}"
"9129","","survey-likert","6","164659","0.0-6.0-0.0","t9n03jurgq0jsxe8chg6","male","battle","","","sympathy","","","{""Q0"":4}"
"4898","","survey-likert","7","169559","0.0-6.0-1.0","t9n03jurgq0jsxe8chg6","male","battle","","","urgent","","","{""Q0"":5}"
"4092","","survey-text","8","173653","0.0-7.0","t9n03jurgq0jsxe8chg6","male","battle","","","past-donations","","","{""Q0"":""0""}"
"3304","","survey-multi-choice","9","176960","0.0-8.0-0.0","t9n03jurgq0jsxe8chg6","male","battle","","","ff-cancer","","","{""Q0"":""No""}"
"3077","","survey-multi-choice","10","180041","0.0-8.0-1.0","t9n03jurgq0jsxe8chg6","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"9813","","survey-multi-choice","11","189864","0.0-9.0","t9n03jurgq0jsxe8chg6","male","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Professional degree (e.g. MD, DDS, DVM)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
"2987","","survey-text","12","192854","0.0-10.0","t9n03jurgq0jsxe8chg6","male","battle","","","age","","","{""Q0"":""25""}"
"5416","","survey-text","13","198271","0.0-11.0","t9n03jurgq0jsxe8chg6","male","battle","","","purpose","","","{""Q0"":""""}"
"2713","","survey-text","14","200987","0.0-12.0","t9n03jurgq0jsxe8chg6","male","battle","","","feedback","","","{""Q0"":""""}"
"9000","debrief.html","external-html","15","210226","0.0-13.0","t9n03jurgq0jsxe8chg6","male","battle","","","","","",""
