"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"21828","consent.html","external-html","0","21907","0.0-0.0","vdjrzgmxgxx633xgarbl","female","journey","","","","","",""
"1664","","image-button-response","1","23574","0.0-1.0","vdjrzgmxgxx633xgarbl","female","journey","check-1.png","1","check1","","",""
"2343","","image-button-response","2","25918","0.0-2.0","vdjrzgmxgxx633xgarbl","female","journey","check-2.png","2","check2","","",""
"32936","","instructions","3","58855","0.0-3.0","vdjrzgmxgxx633xgarbl","female","journey","","","","[{""page_index"":0,""viewing_time"":6512},{""page_index"":1,""viewing_time"":18063},{""page_index"":2,""viewing_time"":7184},{""page_index"":3,""viewing_time"":1176}]","",""
"43542","","html-slider-response","4","102399","0.0-4.0","vdjrzgmxgxx633xgarbl","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fj.png"" class=""main-trial""/>","","trial","","15",""
"38094","","survey-text","5","140495","0.0-5.0","vdjrzgmxgxx633xgarbl","female","journey","","","description","","","{""Q0"":""She was recently diagnosed with cancer and is currently undergoing chemo. It's unclear what her prognosis is, but her friends have set up an online crowdfunding account to help defray expenses.""}"
"4447","","survey-likert","6","144944","0.0-6.0-0.0","vdjrzgmxgxx633xgarbl","female","journey","","","sympathy","","","{""Q0"":2}"
"2965","","survey-likert","7","147911","0.0-6.0-1.0","vdjrzgmxgxx633xgarbl","female","journey","","","urgent","","","{""Q0"":3}"
"4055","","survey-text","8","151966","0.0-7.0","vdjrzgmxgxx633xgarbl","female","journey","","","past-donations","","","{""Q0"":""0""}"
"2855","","survey-multi-choice","9","154824","0.0-8.0-0.0","vdjrzgmxgxx633xgarbl","female","journey","","","ff-cancer","","","{""Q0"":""No""}"
"2220","","survey-multi-choice","10","157047","0.0-8.0-1.0","vdjrzgmxgxx633xgarbl","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"15290","","survey-multi-choice","11","172344","0.0-9.0","vdjrzgmxgxx633xgarbl","female","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Professional degree (e.g. MD, DDS, DVM)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"3469","","survey-text","12","175815","0.0-10.0","vdjrzgmxgxx633xgarbl","female","journey","","","age","","","{""Q0"":""29""}"
"10223","","survey-text","13","186039","0.0-11.0","vdjrzgmxgxx633xgarbl","female","journey","","","purpose","","","{""Q0"":""How sympathetic people are to individuals with cancer.""}"
"1495","","survey-text","14","187535","0.0-12.0","vdjrzgmxgxx633xgarbl","female","journey","","","feedback","","","{""Q0"":""""}"
"21252","debrief.html","external-html","15","208999","0.0-13.0","vdjrzgmxgxx633xgarbl","female","journey","","","","","",""
