"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"14288","consent.html","external-html","0","14383","0.0-0.0","ybarl03jfoud9sxt07bs","male","journey","","","","","",""
"2551","","image-button-response","1","16938","0.0-1.0","ybarl03jfoud9sxt07bs","male","journey","check-1.png","1","check1","","",""
"2700","","image-button-response","2","19640","0.0-2.0","ybarl03jfoud9sxt07bs","male","journey","check-2.png","2","check2","","",""
"38314","","instructions","3","57954","0.0-3.0","ybarl03jfoud9sxt07bs","male","journey","","","","[{""page_index"":0,""viewing_time"":10240},{""page_index"":1,""viewing_time"":18085},{""page_index"":2,""viewing_time"":8105},{""page_index"":3,""viewing_time"":1883}]","",""
"56894","","html-slider-response","4","114850","0.0-4.0","ybarl03jfoud9sxt07bs","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mj.png"" class=""main-trial""/>","","trial","","25",""
"48250","","survey-text","5","163102","0.0-5.0","ybarl03jfoud9sxt07bs","male","journey","","","description","","","{""Q0"":""Ever since he had surgery Jason has been suffering from cancer. He currently has stage 2 lymphoma. He has a long road to recovery ahead of him.""}"
"9166","","survey-likert","6","172270","0.0-6.0-0.0","ybarl03jfoud9sxt07bs","male","journey","","","sympathy","","","{""Q0"":6}"
"3873","","survey-likert","7","176145","0.0-6.0-1.0","ybarl03jfoud9sxt07bs","male","journey","","","urgent","","","{""Q0"":4}"
"4679","","survey-text","8","180826","0.0-7.0","ybarl03jfoud9sxt07bs","male","journey","","","past-donations","","","{""Q0"":""3""}"
"2624","","survey-multi-choice","9","183452","0.0-8.0-0.0","ybarl03jfoud9sxt07bs","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"3304","","survey-multi-choice","10","186758","0.0-8.0-1.0","ybarl03jfoud9sxt07bs","male","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"13687","","survey-multi-choice","11","200453","0.0-9.0","ybarl03jfoud9sxt07bs","male","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3376","","survey-text","12","203830","0.0-10.0","ybarl03jfoud9sxt07bs","male","journey","","","age","","","{""Q0"":""50""}"
"22459","","survey-text","13","226290","0.0-11.0","ybarl03jfoud9sxt07bs","male","journey","","","purpose","","","{""Q0"":""to see how much a person would be willing to donate to someone who is suffering.""}"
"5899","","survey-text","14","232190","0.0-12.0","ybarl03jfoud9sxt07bs","male","journey","","","feedback","","","{""Q0"":""not at this time""}"
"31368","debrief.html","external-html","15","263843","0.0-13.0","ybarl03jfoud9sxt07bs","male","journey","","","","","",""
