"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"15278","consent.html","external-html","0","15480","0.0-0.0","2mbh75xmh3wkw1qqy03z","male","journey","","","","",""
"34398","","instructions","1","49881","0.0-1.0","2mbh75xmh3wkw1qqy03z","male","journey","[{""page_index"":0,""viewing_time"":7215},{""page_index"":1,""viewing_time"":20467},{""page_index"":2,""viewing_time"":5535},{""page_index"":3,""viewing_time"":1180}]","","","",""
"49847","","html-slider-response","2","99737","0.0-2.0","2mbh75xmh3wkw1qqy03z","male","journey","","20","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_journey.png"" class=""main-trial""/>","trial",""
"7491","","survey-likert","3","107232","0.0-3.0-0.0","2mbh75xmh3wkw1qqy03z","male","journey","","","","urgent","{""Q0"":3}"
"6976","","survey-likert","4","114223","0.0-3.0-1.0","2mbh75xmh3wkw1qqy03z","male","journey","","","","guilty","{""Q0"":1}"
"3790","","survey-likert","5","118027","0.0-3.0-2.0","2mbh75xmh3wkw1qqy03z","male","journey","","","","peace","{""Q0"":4}"
"3289","","survey-likert","6","121335","0.0-3.0-3.0","2mbh75xmh3wkw1qqy03z","male","journey","","","","sympathy","{""Q0"":4}"
"4439","","survey-multi-choice","7","125796","0.0-4.0-0.0","2mbh75xmh3wkw1qqy03z","male","journey","","","","ff-cancer","{""Q0"":""Yes""}"
"3551","","survey-multi-choice","8","129363","0.0-4.0-1.0","2mbh75xmh3wkw1qqy03z","male","journey","","","","self-cancer","{""Q0"":""No""}"
"17486","","survey-multi-choice","9","146874","0.0-5.0","2mbh75xmh3wkw1qqy03z","male","journey","","","","demographics","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3750","","survey-text","10","150646","0.0-6.0","2mbh75xmh3wkw1qqy03z","male","journey","","","","age","{""Q0"":""54""}"
"33492","","survey-text","11","184141","0.0-7.0","2mbh75xmh3wkw1qqy03z","male","journey","","","","purpose","{""Q0"":""how people with relatives or personal cancer experience donate more than those who have no one close to them with the disease""}"
"4186","","survey-text","12","188328","0.0-8.0","2mbh75xmh3wkw1qqy03z","male","journey","","","","feedback","{""Q0"":""no""}"
"23638","debrief.html","external-html","13","212291","0.0-9.0","2mbh75xmh3wkw1qqy03z","male","journey","","","","",""
