"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"8223","consent.html","external-html","0","8259","0.0-0.0","9mnvpq5xymhrzsrt04kg","female","journey","","","","",""
"23198","","instructions","1","31458","0.0-1.0","9mnvpq5xymhrzsrt04kg","female","journey","[{""page_index"":0,""viewing_time"":8705},{""page_index"":1,""viewing_time"":10873},{""page_index"":2,""viewing_time"":2650},{""page_index"":3,""viewing_time"":969}]","","","",""
"51329","","html-slider-response","2","82789","0.0-2.0","9mnvpq5xymhrzsrt04kg","female","journey","","0","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_journey.png"" class=""main-trial""/>","trial",""
"8585","","survey-likert","3","91376","0.0-3.0-0.0","9mnvpq5xymhrzsrt04kg","female","journey","","","","peace","{""Q0"":3}"
"4409","","survey-likert","4","95787","0.0-3.0-1.0","9mnvpq5xymhrzsrt04kg","female","journey","","","","guilty","{""Q0"":1}"
"2882","","survey-likert","5","98669","0.0-3.0-2.0","9mnvpq5xymhrzsrt04kg","female","journey","","","","sympathy","{""Q0"":5}"
"3096","","survey-likert","6","101766","0.0-3.0-3.0","9mnvpq5xymhrzsrt04kg","female","journey","","","","urgent","{""Q0"":3}"
"2306","","survey-multi-choice","7","104075","0.0-4.0-0.0","9mnvpq5xymhrzsrt04kg","female","journey","","","","self-cancer","{""Q0"":""No""}"
"2162","","survey-multi-choice","8","106238","0.0-4.0-1.0","9mnvpq5xymhrzsrt04kg","female","journey","","","","ff-cancer","{""Q0"":""No""}"
"7176","","survey-multi-choice","9","113421","0.0-5.0","9mnvpq5xymhrzsrt04kg","female","journey","","","","demographics","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"3222","","survey-text","10","116644","0.0-6.0","9mnvpq5xymhrzsrt04kg","female","journey","","","","age","{""Q0"":""36""}"
"17753","","survey-text","11","134398","0.0-7.0","9mnvpq5xymhrzsrt04kg","female","journey","","","","purpose","{""Q0"":""generosity based on the content of the fundraising message or maybe who wrote it""}"
"3115","","survey-text","12","137514","0.0-8.0","9mnvpq5xymhrzsrt04kg","female","journey","","","","feedback","{""Q0"":""""}"
"4291","debrief.html","external-html","13","142070","0.0-9.0","9mnvpq5xymhrzsrt04kg","female","journey","","","","",""
