"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"3003","consent.html","external-html","0","3108","0.0-0.0","cgjtlulv7uqfmdaf5bpw","male","battle","","","","",""
"6867","","instructions","1","9977","0.0-1.0","cgjtlulv7uqfmdaf5bpw","male","battle","[{""page_index"":0,""viewing_time"":2050},{""page_index"":1,""viewing_time"":1808},{""page_index"":2,""viewing_time"":2216},{""page_index"":3,""viewing_time"":792}]","","","",""
"15356","","html-slider-response","2","25337","0.0-2.0","cgjtlulv7uqfmdaf5bpw","male","battle","","0","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_battle.png"" class=""main-trial""/>","trial",""
"5220","","survey-likert","3","30561","0.0-3.0-0.0","cgjtlulv7uqfmdaf5bpw","male","battle","","","","peace","{""Q0"":4}"
"3813","","survey-likert","4","34376","0.0-3.0-1.0","cgjtlulv7uqfmdaf5bpw","male","battle","","","","urgent","{""Q0"":5}"
"31190","","survey-likert","5","65568","0.0-3.0-2.0","cgjtlulv7uqfmdaf5bpw","male","battle","","","","sympathy","{""Q0"":5}"
"5309","","survey-likert","6","70880","0.0-3.0-3.0","cgjtlulv7uqfmdaf5bpw","male","battle","","","","guilty","{""Q0"":2}"
"3108","","survey-multi-choice","7","73992","0.0-4.0-0.0","cgjtlulv7uqfmdaf5bpw","male","battle","","","","ff-cancer","{""Q0"":""Yes""}"
"1821","","survey-multi-choice","8","75817","0.0-4.0-1.0","cgjtlulv7uqfmdaf5bpw","male","battle","","","","self-cancer","{""Q0"":""No""}"
"5875","","survey-multi-choice","9","81705","0.0-5.0","cgjtlulv7uqfmdaf5bpw","male","battle","","","","demographics","{""Q0"":""Male"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"2964","","survey-text","10","84672","0.0-6.0","cgjtlulv7uqfmdaf5bpw","male","battle","","","","age","{""Q0"":""31""}"
"1406","","survey-text","11","86080","0.0-7.0","cgjtlulv7uqfmdaf5bpw","male","battle","","","","purpose","{""Q0"":""""}"
"1438","","survey-text","12","87519","0.0-8.0","cgjtlulv7uqfmdaf5bpw","male","battle","","","","feedback","{""Q0"":""""}"
"4255","debrief.html","external-html","13","91843","0.0-9.0","cgjtlulv7uqfmdaf5bpw","male","battle","","","","",""
