,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,20469,consent.html,external-html,0,21253,0.0-0.0,jykwn8amo95b76potu9b,male,journey,,,,,,
1,3053,,image-button-response,1,24310,0.0-1.0,jykwn8amo95b76potu9b,male,journey,check-1.png,1.0,check1,,,
2,17353,,image-button-response,2,41665,0.0-2.0,jykwn8amo95b76potu9b,male,journey,check-2.png,2.0,check2,,,
3,45742,,instructions,3,87408,0.0-3.0,jykwn8amo95b76potu9b,male,journey,,,,"[{""page_index"":0,""viewing_time"":8758},{""page_index"":1,""viewing_time"":24843},{""page_index"":2,""viewing_time"":9028},{""page_index"":3,""viewing_time"":3112}]",,
4,118469,,html-slider-response,4,205880,0.0-4.0,jykwn8amo95b76potu9b,male,journey,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_journey.png"" class=""main-trial""/>",,trial,,29.0,
5,199784,,survey-text,5,405667,0.0-5.0,jykwn8amo95b76potu9b,male,journey,,,description,,,"{""Q0"":""Jason needs funds to cater for the expenses that will come along during his future treatments, hospital visits and medications.""}"
6,10625,,survey-likert,6,416297,0.0-6.0-0.0,jykwn8amo95b76potu9b,male,journey,,,sympathy,,,"{""Q0"":6}"
7,4314,,survey-likert,7,420665,0.0-6.0-1.0,jykwn8amo95b76potu9b,male,journey,,,urgent,,,"{""Q0"":6}"
8,5678,,survey-text,8,426396,0.0-7.0,jykwn8amo95b76potu9b,male,journey,,,past-donations,,,"{""Q0"":""2""}"
9,4017,,survey-multi-choice,9,430417,0.0-8.0-0.0,jykwn8amo95b76potu9b,male,journey,,,ff-cancer,,,"{""Q0"":""No""}"
10,2945,,survey-multi-choice,10,433416,0.0-8.0-1.0,jykwn8amo95b76potu9b,male,journey,,,self-cancer,,,"{""Q0"":""No""}"
11,13127,,survey-multi-choice,11,446606,0.0-9.0,jykwn8amo95b76potu9b,male,journey,,,demographics,,,"{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
12,5546,,survey-text,12,452204,0.0-10.0,jykwn8amo95b76potu9b,male,journey,,,age,,,"{""Q0"":""30""}"
13,8759,,survey-text,13,460964,0.0-11.0,jykwn8amo95b76potu9b,male,journey,,,purpose,,,"{""Q0"":""""}"
14,3515,,survey-text,14,464480,0.0-12.0,jykwn8amo95b76potu9b,male,journey,,,feedback,,,"{""Q0"":""""}"
15,19646,debrief.html,external-html,15,485997,0.0-13.0,jykwn8amo95b76potu9b,male,journey,,,,,,
