,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,46961,consent.html,external-html,0,56327,0.0-0.0,p8vt1ga44fg039vfzhpf,male,journey,,,,,,
1,10253,,image-button-response,1,66588,0.0-1.0,p8vt1ga44fg039vfzhpf,male,journey,check-1.png,1.0,check1,,,
2,5800,,image-button-response,2,72388,0.0-2.0,p8vt1ga44fg039vfzhpf,male,journey,check-2.png,2.0,check2,,,
3,108301,,instructions,3,180689,0.0-3.0,p8vt1ga44fg039vfzhpf,male,journey,,,,"[{""page_index"":0,""viewing_time"":13906},{""page_index"":1,""viewing_time"":68862},{""page_index"":2,""viewing_time"":23688},{""page_index"":3,""viewing_time"":1841}]",,
4,164822,,html-slider-response,4,345518,0.0-4.0,p8vt1ga44fg039vfzhpf,male,journey,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_journey.png"" class=""main-trial""/>",,trial,,30.0,
5,65754,,survey-text,5,411276,0.0-5.0,p8vt1ga44fg039vfzhpf,male,journey,,,description,,,"{""Q0"":""he needs our help most.so help him to survive by donating money..""}"
6,13221,,survey-likert,6,424503,0.0-6.0-0.0,p8vt1ga44fg039vfzhpf,male,journey,,,sympathy,,,"{""Q0"":5}"
7,4466,,survey-likert,7,428973,0.0-6.0-1.0,p8vt1ga44fg039vfzhpf,male,journey,,,urgent,,,"{""Q0"":4}"
8,6738,,survey-text,8,435717,0.0-7.0,p8vt1ga44fg039vfzhpf,male,journey,,,past-donations,,,"{""Q0"":""3""}"
9,12970,,survey-multi-choice,9,448696,0.0-8.0-0.0,p8vt1ga44fg039vfzhpf,male,journey,,,ff-cancer,,,"{""Q0"":""Prefer not to say""}"
10,4384,,survey-multi-choice,10,453086,0.0-8.0-1.0,p8vt1ga44fg039vfzhpf,male,journey,,,self-cancer,,,"{""Q0"":""No""}"
11,10417,,survey-multi-choice,11,463528,0.0-9.0,p8vt1ga44fg039vfzhpf,male,journey,,,demographics,,,"{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
12,8409,,survey-text,12,471941,0.0-10.0,p8vt1ga44fg039vfzhpf,male,journey,,,age,,,"{""Q0"":""1982""}"
13,8293,,survey-text,13,480237,0.0-11.0,p8vt1ga44fg039vfzhpf,male,journey,,,purpose,,,"{""Q0"":""none""}"
14,8376,,survey-text,14,488613,0.0-12.0,p8vt1ga44fg039vfzhpf,male,journey,,,feedback,,,"{""Q0"":""na""}"
15,31765,debrief.html,external-html,15,525527,0.0-13.0,p8vt1ga44fg039vfzhpf,male,journey,,,,,,
