,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,7021,consent.html,external-html,0,7121,0.0-0.0,v22et19s556p0o8q6qy4,male,literal,,,,,,
1,3772,,image-button-response,1,10894,0.0-1.0,v22et19s556p0o8q6qy4,male,literal,check-1.png,1.0,check1,,,
2,2563,,image-button-response,2,13459,0.0-2.0,v22et19s556p0o8q6qy4,male,literal,check-2.png,2.0,check2,,,
3,28967,,instructions,3,42427,0.0-3.0,v22et19s556p0o8q6qy4,male,literal,,,,"[{""page_index"":0,""viewing_time"":2629},{""page_index"":1,""viewing_time"":21479},{""page_index"":2,""viewing_time"":3734},{""page_index"":3,""viewing_time"":1125}]",,
4,29151,,html-slider-response,4,71584,0.0-4.0,v22et19s556p0o8q6qy4,male,literal,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_literal.png"" class=""main-trial""/>",,trial,,0.0,
5,43368,,survey-text,5,114953,0.0-5.0,v22et19s556p0o8q6qy4,male,literal,,,description,,,"{""Q0"":""some alleged guy named jason has another guy on the internet raising money for him like he's some kind of charity case.""}"
6,4377,,survey-likert,6,119332,0.0-6.0-0.0,v22et19s556p0o8q6qy4,male,literal,,,sympathy,,,"{""Q0"":0}"
7,2476,,survey-likert,7,121809,0.0-6.0-1.0,v22et19s556p0o8q6qy4,male,literal,,,urgent,,,"{""Q0"":0}"
8,3005,,survey-text,8,124815,0.0-7.0,v22et19s556p0o8q6qy4,male,literal,,,past-donations,,,"{""Q0"":""1""}"
9,2888,,survey-multi-choice,9,127706,0.0-8.0-0.0,v22et19s556p0o8q6qy4,male,literal,,,ff-cancer,,,"{""Q0"":""No""}"
10,2457,,survey-multi-choice,10,130165,0.0-8.0-1.0,v22et19s556p0o8q6qy4,male,literal,,,self-cancer,,,"{""Q0"":""No""}"
11,7261,,survey-multi-choice,11,137432,0.0-9.0,v22et19s556p0o8q6qy4,male,literal,,,demographics,,,"{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
12,16583,,survey-text,12,154016,0.0-10.0,v22et19s556p0o8q6qy4,male,literal,,,age,,,"{""Q0"":""60""}"
13,3133,,survey-text,13,157151,0.0-11.0,v22et19s556p0o8q6qy4,male,literal,,,purpose,,,"{""Q0"":""""}"
14,1480,,survey-text,14,158631,0.0-12.0,v22et19s556p0o8q6qy4,male,literal,,,feedback,,,"{""Q0"":""""}"
15,2067,debrief.html,external-html,15,160968,0.0-13.0,v22et19s556p0o8q6qy4,male,literal,,,,,,
