,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,6808,consent.html,external-html,0,6903,0.0-0.0,993mtewbue9379642fz9,female,journey,,,,,,
1,2817,,image-button-response,1,9727,0.0-1.0,993mtewbue9379642fz9,female,journey,check-1.png,1.0,check1,,,
2,4056,,image-button-response,2,13787,0.0-2.0,993mtewbue9379642fz9,female,journey,check-2.png,2.0,check2,,,
3,24165,,instructions,3,37955,0.0-3.0,993mtewbue9379642fz9,female,journey,,,,"[{""page_index"":0,""viewing_time"":8995},{""page_index"":1,""viewing_time"":10390},{""page_index"":2,""viewing_time"":2754},{""page_index"":3,""viewing_time"":2024}]",,
4,17564,,html-slider-response,4,55524,0.0-4.0,993mtewbue9379642fz9,female,journey,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_journey.png"" class=""main-trial""/>",,trial,,25.0,
5,16800,,survey-text,5,72328,0.0-5.0,993mtewbue9379642fz9,female,journey,,,description,,,"{""Q0"":""A woman with lymphoma ""}"
6,9003,,survey-likert,6,81335,0.0-6.0-0.0,993mtewbue9379642fz9,female,journey,,,urgent,,,"{""Q0"":6}"
7,5040,,survey-likert,7,86378,0.0-6.0-1.0,993mtewbue9379642fz9,female,journey,,,sympathy,,,"{""Q0"":6}"
8,5165,,survey-text,8,91547,0.0-7.0,993mtewbue9379642fz9,female,journey,,,past-donations,,,"{""Q0"":""5""}"
9,3205,,survey-multi-choice,9,94758,0.0-8.0-0.0,993mtewbue9379642fz9,female,journey,,,self-cancer,,,"{""Q0"":""No""}"
10,4730,,survey-multi-choice,10,99494,0.0-8.0-1.0,993mtewbue9379642fz9,female,journey,,,ff-cancer,,,"{""Q0"":""Yes""}"
11,9140,,survey-multi-choice,11,108648,0.0-9.0,993mtewbue9379642fz9,female,journey,,,demographics,,,"{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
12,4545,,survey-text,12,113196,0.0-10.0,993mtewbue9379642fz9,female,journey,,,age,,,"{""Q0"":""42""}"
13,9770,,survey-text,13,122969,0.0-11.0,993mtewbue9379642fz9,female,journey,,,purpose,,,"{""Q0"":""Empathy""}"
14,5335,,survey-text,14,128307,0.0-12.0,993mtewbue9379642fz9,female,journey,,,feedback,,,"{""Q0"":""No""}"
15,4220,debrief.html,external-html,15,133322,0.0-13.0,993mtewbue9379642fz9,female,journey,,,,,,
