,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,14214,consent.html,external-html,0,14281,0.0-0.0,voa7lh1elyrzu3ofcbv6,female,literal,,,,,,
1,9570,,image-button-response,1,23859,0.0-1.0,voa7lh1elyrzu3ofcbv6,female,literal,check-1.png,1.0,check1,,,
2,5656,,image-button-response,2,29519,0.0-2.0,voa7lh1elyrzu3ofcbv6,female,literal,check-2.png,2.0,check2,,,
3,41730,,instructions,3,71251,0.0-3.0,voa7lh1elyrzu3ofcbv6,female,literal,,,,"[{""page_index"":0,""viewing_time"":8287},{""page_index"":1,""viewing_time"":25280},{""page_index"":2,""viewing_time"":6880},{""page_index"":3,""viewing_time"":1280}]",,
4,23120,,html-slider-response,4,94378,0.0-4.0,voa7lh1elyrzu3ofcbv6,female,literal,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_literal.png"" class=""main-trial""/>",,trial,,5.0,
5,26184,,survey-text,5,120568,0.0-5.0,voa7lh1elyrzu3ofcbv6,female,literal,,,description,,,"{""Q0"":""She's a sick person that need help""}"
6,9488,,survey-likert,6,130060,0.0-6.0-0.0,voa7lh1elyrzu3ofcbv6,female,literal,,,urgent,,,"{""Q0"":5}"
7,6058,,survey-likert,7,136123,0.0-6.0-1.0,voa7lh1elyrzu3ofcbv6,female,literal,,,sympathy,,,"{""Q0"":3}"
8,7394,,survey-text,8,143522,0.0-7.0,voa7lh1elyrzu3ofcbv6,female,literal,,,past-donations,,,"{""Q0"":""2""}"
9,8370,,survey-multi-choice,9,151900,0.0-8.0-0.0,voa7lh1elyrzu3ofcbv6,female,literal,,,ff-cancer,,,"{""Q0"":""No""}"
10,4319,,survey-multi-choice,10,156226,0.0-8.0-1.0,voa7lh1elyrzu3ofcbv6,female,literal,,,self-cancer,,,"{""Q0"":""No""}"
11,12560,,survey-multi-choice,11,168813,0.0-9.0,voa7lh1elyrzu3ofcbv6,female,literal,,,demographics,,,"{""Q0"":""Female"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""No""}"
12,5409,,survey-text,12,174226,0.0-10.0,voa7lh1elyrzu3ofcbv6,female,literal,,,age,,,"{""Q0"":""42""}"
13,56875,,survey-text,13,231102,0.0-11.0,voa7lh1elyrzu3ofcbv6,female,literal,,,purpose,,,"{""Q0"":""how a difficult situation involves the help of others""}"
14,1231,,survey-text,14,232335,0.0-12.0,voa7lh1elyrzu3ofcbv6,female,literal,,,feedback,,,"{""Q0"":""""}"
15,5432,debrief.html,external-html,15,237938,0.0-13.0,voa7lh1elyrzu3ofcbv6,female,literal,,,,,,
