,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,11622,consent.html,external-html,0,11718,0.0-0.0,nqsyc5chxa9rp9z65ocu,male,journey,,,,,,
1,4409,,image-button-response,1,16139,0.0-1.0,nqsyc5chxa9rp9z65ocu,male,journey,check-1.png,1.0,check1,,,
2,4482,,image-button-response,2,20625,0.0-2.0,nqsyc5chxa9rp9z65ocu,male,journey,check-2.png,2.0,check2,,,
3,46369,,instructions,3,66997,0.0-3.0,nqsyc5chxa9rp9z65ocu,male,journey,,,,"[{""page_index"":0,""viewing_time"":9048},{""page_index"":1,""viewing_time"":22363},{""page_index"":2,""viewing_time"":13249},{""page_index"":3,""viewing_time"":1708}]",,
4,147476,,html-slider-response,4,214479,0.0-4.0,nqsyc5chxa9rp9z65ocu,male,journey,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_journey.png"" class=""main-trial""/>",,trial,,0.0,
5,115685,,survey-text,5,330167,0.0-5.0,nqsyc5chxa9rp9z65ocu,male,journey,,,description,,,"{""Q0"":""Jason is a person who is facing a thyroid surgery for stage 2 Lymphoma. His friend is trying to raise money to help pay for the surgery by using a crowdfunding to raise money.""}"
6,6584,,survey-likert,6,336755,0.0-6.0-0.0,nqsyc5chxa9rp9z65ocu,male,journey,,,urgent,,,"{""Q0"":4}"
7,4778,,survey-likert,7,341537,0.0-6.0-1.0,nqsyc5chxa9rp9z65ocu,male,journey,,,sympathy,,,"{""Q0"":4}"
8,6673,,survey-text,8,348214,0.0-7.0,nqsyc5chxa9rp9z65ocu,male,journey,,,past-donations,,,"{""Q0"":""12""}"
9,4318,,survey-multi-choice,9,352538,0.0-8.0-0.0,nqsyc5chxa9rp9z65ocu,male,journey,,,ff-cancer,,,"{""Q0"":""No""}"
10,2568,,survey-multi-choice,10,355110,0.0-8.0-1.0,nqsyc5chxa9rp9z65ocu,male,journey,,,self-cancer,,,"{""Q0"":""No""}"
11,9772,,survey-multi-choice,11,364902,0.0-9.0,nqsyc5chxa9rp9z65ocu,male,journey,,,demographics,,,"{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
12,4043,,survey-text,12,368948,0.0-10.0,nqsyc5chxa9rp9z65ocu,male,journey,,,age,,,"{""Q0"":""54""}"
13,5142,,survey-text,13,374093,0.0-11.0,nqsyc5chxa9rp9z65ocu,male,journey,,,purpose,,,"{""Q0"":""""}"
14,3306,,survey-text,14,377402,0.0-12.0,nqsyc5chxa9rp9z65ocu,male,journey,,,feedback,,,"{""Q0"":""""}"
15,6067,debrief.html,external-html,15,383778,0.0-13.0,nqsyc5chxa9rp9z65ocu,male,journey,,,,,,
