,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,5661,consent.html,external-html,0,5730,0.0-0.0,zo44r3mb4pf5gd62jfm6,male,journey,,,,,,
1,25709,,image-button-response,1,31445,0.0-1.0,zo44r3mb4pf5gd62jfm6,male,journey,check-1.png,1.0,check1,,,
2,3317,,image-button-response,2,34763,0.0-2.0,zo44r3mb4pf5gd62jfm6,male,journey,check-2.png,2.0,check2,,,
3,27879,,instructions,3,62643,0.0-3.0,zo44r3mb4pf5gd62jfm6,male,journey,,,,"[{""page_index"":0,""viewing_time"":5511},{""page_index"":1,""viewing_time"":15920},{""page_index"":2,""viewing_time"":5144},{""page_index"":3,""viewing_time"":1304}]",,
4,70087,,html-slider-response,4,132732,0.0-4.0,zo44r3mb4pf5gd62jfm6,male,journey,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_journey.png"" class=""main-trial""/>",,trial,,15.0,
5,76269,,survey-text,5,209004,0.0-5.0,zo44r3mb4pf5gd62jfm6,male,journey,,,description,,,"{""Q0"":""He just got diagnosed with lymphoma, had surgery, and is now on chemo. A friend is collecting donations to get him through this situation.""}"
6,9744,,survey-likert,6,218750,0.0-6.0-0.0,zo44r3mb4pf5gd62jfm6,male,journey,,,sympathy,,,"{""Q0"":5}"
7,8143,,survey-likert,7,226933,0.0-6.0-1.0,zo44r3mb4pf5gd62jfm6,male,journey,,,urgent,,,"{""Q0"":6}"
8,3619,,survey-text,8,230596,0.0-7.0,zo44r3mb4pf5gd62jfm6,male,journey,,,past-donations,,,"{""Q0"":""0""}"
9,6637,,survey-multi-choice,9,237237,0.0-8.0-0.0,zo44r3mb4pf5gd62jfm6,male,journey,,,ff-cancer,,,"{""Q0"":""Yes""}"
10,2533,,survey-multi-choice,10,239812,0.0-8.0-1.0,zo44r3mb4pf5gd62jfm6,male,journey,,,self-cancer,,,"{""Q0"":""No""}"
11,10761,,survey-multi-choice,11,250613,0.0-9.0,zo44r3mb4pf5gd62jfm6,male,journey,,,demographics,,,"{""Q0"":""Female"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
12,3487,,survey-text,12,254140,0.0-10.0,zo44r3mb4pf5gd62jfm6,male,journey,,,age,,,"{""Q0"":""26""}"
13,28990,,survey-text,13,283132,0.0-11.0,zo44r3mb4pf5gd62jfm6,male,journey,,,purpose,,,"{""Q0"":""""}"
14,4438,,survey-text,14,287572,0.0-12.0,zo44r3mb4pf5gd62jfm6,male,journey,,,feedback,,,"{""Q0"":""""}"
15,2545,debrief.html,external-html,15,290311,0.0-13.0,zo44r3mb4pf5gd62jfm6,male,journey,,,,,,
