,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,ppt,recipient_sex,metaphor,stimulus,button_pressed,qtype,view_history,response,responses
0,11210,consent.html,external-html,0,11626,0.0-0.0,g2zm9xo6jo6bpg41txrs,male,literal,,,,,,
1,2188,,image-button-response,1,13816,0.0-1.0,g2zm9xo6jo6bpg41txrs,male,literal,check-1.png,1.0,check1,,,
2,3227,,image-button-response,2,17044,0.0-2.0,g2zm9xo6jo6bpg41txrs,male,literal,check-2.png,2.0,check2,,,
3,30755,,instructions,3,47800,0.0-3.0,g2zm9xo6jo6bpg41txrs,male,literal,,,,"[{""page_index"":0,""viewing_time"":6142},{""page_index"":1,""viewing_time"":15658},{""page_index"":2,""viewing_time"":7537},{""page_index"":3,""viewing_time"":1418}]",,
4,51550,,html-slider-response,4,99353,0.0-4.0,g2zm9xo6jo6bpg41txrs,male,literal,"<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_ml.png"" class=""main-trial""/>",,trial,,25.0,
5,46592,,survey-text,5,145946,0.0-5.0,g2zm9xo6jo6bpg41txrs,male,literal,,,description,,,"{""Q0"":""This guy had a lymph node surgery and they found stage 2 lymphoma. he is doingOK but faces a long road of treatment ahead.""}"
6,9359,,survey-likert,6,155307,0.0-6.0-0.0,g2zm9xo6jo6bpg41txrs,male,literal,,,urgent,,,"{""Q0"":4}"
7,4284,,survey-likert,7,159593,0.0-6.0-1.0,g2zm9xo6jo6bpg41txrs,male,literal,,,sympathy,,,"{""Q0"":4}"
8,8469,,survey-text,8,168063,0.0-7.0,g2zm9xo6jo6bpg41txrs,male,literal,,,past-donations,,,"{""Q0"":""20""}"
9,2766,,survey-multi-choice,9,170831,0.0-8.0-0.0,g2zm9xo6jo6bpg41txrs,male,literal,,,ff-cancer,,,"{""Q0"":""No""}"
10,1966,,survey-multi-choice,10,172799,0.0-8.0-1.0,g2zm9xo6jo6bpg41txrs,male,literal,,,self-cancer,,,"{""Q0"":""No""}"
11,10309,,survey-multi-choice,11,183115,0.0-9.0,g2zm9xo6jo6bpg41txrs,male,literal,,,demographics,,,"{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
12,3520,,survey-text,12,186636,0.0-10.0,g2zm9xo6jo6bpg41txrs,male,literal,,,age,,,"{""Q0"":""39""}"
13,68079,,survey-text,13,254717,0.0-11.0,g2zm9xo6jo6bpg41txrs,male,literal,,,purpose,,,"{""Q0"":""To see how people react to making a donation  (based on campaign wording / description, etc.), especially when the donation would be made from a possible payment that the donor receives (i.e., the donation has no direct cost to me, but would be taken out of something I won / was given). ""}"
14,17638,,survey-text,14,272355,0.0-12.0,g2zm9xo6jo6bpg41txrs,male,literal,,,feedback,,,"{""Q0"":""Interesting task. Good luck with the results and thanks for the opportunity. ""}"
15,12453,debrief.html,external-html,15,285441,0.0-13.0,g2zm9xo6jo6bpg41txrs,male,literal,,,,,,
